UserName,Handle,Text,Comments,Likes,Retweets
Physics & Astronomy Zone,@zone_astronomy,A view of Earth from the Moon by NASA.A view of Earth from the Moon by NASA.,181,"1,273","8,237"
NASA,@NASA,"One mission. Four astronauts. So many ways to watch the #Artemis II astronaut announcement.     The thread below tells you all the places you can find this historic event. We make history on Monday, April 3, starting at 11am ET (1500 UTC).One mission. Four astronauts. So many ways to watch the #Artemis II astronaut announcement.     The thread below tells you all the places you can find this historic event. We make history on Monday, April 3, starting at 11am ET (1500 UTC).",115,"1,635","7,934"
Troll Football,@TrollFootball, NASA have confirmed that all Man United fans have made it safely back to the Earth. NASA have confirmed that all Man United fans have made it safely back to the Earth.,220,"2,311",21.5K
THE FLAT EARTHER,@TheFlatEartherr,NASA's moon landing hoax was filmed in a studio.NASA's moon landing hoax was filmed in a studio.,69,"1,233","2,768"
Wonder of Science,@wonderofscience,"The planet Neptune as captured by the Voyager 2 spacecraft, with a close-up of latitudinal clouds that are about 50 km (30 miles) high at their tallest.

Credit:NASA/JPL/Justin CowartThe planet Neptune as captured by the Voyager 2 spacecraft, with a close-up of latitudinal clouds that are about 50 km (30 miles) high at their tallest.

Credit:NASA/JPL/Justin Cowart",21,303,"2,344"
Julio Maiz,@maiz_julio,M51 Whirlpool Galaxy in Canes Venatici constellation #NASA https://twitter.com/intent/tweet?url=https%3A%2F%2Ftmblr.co%2FZpkuVu1UdEhOXâ€¦M51 Whirlpool Galaxy in Canes Venatici constellation #NASA https://twitter.com/intent/tweet?url=https%3A%2F%2Ftmblr.co%2FZpkuVu1UdEhOXâ€¦,12,329,"1,817"
Chris Bergin - NSF,@NASASpaceflight,"This train is heading toward the launch site! 

https://youtube.com/watch?v=qi6YcWK7msAâ€¦This train is heading toward the launch site! 

https://youtube.com/watch?v=qi6YcWK7msAâ€¦",17,37,690
Julio Maiz,@maiz_julio,IC1805 Heart Nebula by Hubble telescope #NASA https://tmblr.co/ZpkuVu1rI3NgnIC1805 Heart Nebula by Hubble telescope #NASA https://tmblr.co/ZpkuVu1rI3Ngn,4,114,581
Julio Maiz,@maiz_julio,M78 Reflection Nebula in Orion #NASAM78 Reflection Nebula in Orion #NASA,5,323,"1,652"
Swetilein,@Swetilein1,"'M57: The Ring Nebula from Hubble' image from the #NASA_App
https://apod.nasa.gov/apod/ap230402.htmlâ€¦
#Astrophotography #astronomy #space #Nebula'M57: The Ring Nebula from Hubble' image from the #NASA_App
https://apod.nasa.gov/apod/ap230402.htmlâ€¦
#Astrophotography #astronomy #space #Nebula",3,59,355
Chris Bergin - NSF,@NASASpaceflight,"Wow, that's a great shot!Wow, that's a great shot!",8,54,674
Razzia,@littleNASA,"Attending Wrestlemania was only ever part of the dream.

Attending Wrestlemania as one of my heroes, thatâ€™s the ultimate dream.
@dustinrhodes
 has been promoted to Grandpa, so I gotchu covered! 

#MiniGoldust #WrestleManiaAttending Wrestlemania was only ever part of the dream.

Attending Wrestlemania as one of my heroes, thatâ€™s the ultimate dream.
@dustinrhodes
 has been promoted to Grandpa, so I gotchu covered! 

#MiniGoldust #WrestleMania",6,7,19
Chris Bergin - NSF,@NASASpaceflight,"LAUNCH! SpaceX Falcon 9 B1075-2 launches with SDA Tranche 0 Flight 1 mission. 

Overview: https://nasaspaceflight.com/2023/03/tranche-0-flight-1/â€¦ - by Danny Lentz

NSF livestream
https://youtube.com/watch?v=qi6YcWK7msAâ€¦LAUNCH! SpaceX Falcon 9 B1075-2 launches with SDA Tranche 0 Flight 1 mission. 

Overview: https://nasaspaceflight.com/2023/03/tranche-0-flight-1/â€¦ - by Danny Lentz

NSF livestream
https://youtube.com/watch?v=qi6YcWK7msAâ€¦",3,55,502
Swetilein,@Swetilein1,"'Andromeda in Southern Skies' image from the #NASA_App 10-21-2022
https://apod.nasa.gov/apod/ap221021.htmlâ€¦
#Astrophotography #astronomy #Andromeda'Andromeda in Southern Skies' image from the #NASA_App 10-21-2022
https://apod.nasa.gov/apod/ap221021.htmlâ€¦
#Astrophotography #astronomy #Andromeda",6,87,592
Jasmine,@astro_jaz,"the cygnus loop nebula in ultraviolet looks like something out of a sci-fi movie ðŸ©µ

image credit: NASA/JPL-Caltechthe cygnus loop nebula in ultraviolet looks like something out of a sci-fi movie ðŸ©µ

image credit: NASA/JPL-Caltech",13,80,666
Rob Meyerson,@RobMeyerson,"â€œIBMâ€ is not an acronym, itâ€™s an initialism. Acronyms are pronounced as words, like â€œNASA.â€â€œIBMâ€ is not an acronym, itâ€™s an initialism. Acronyms are pronounced as words, like â€œNASA.â€",6,13,121
UzayÄ± KeÅŸfet,@uzayakesif,"Uzayda Ä±slak bir havluyu sÄ±kÄ±nca, ne olacaÄŸÄ±nÄ± gÃ¶rÃ¼yorsunuz.

CSA/NASAUzayda Ä±slak bir havluyu sÄ±kÄ±nca, ne olacaÄŸÄ±nÄ± gÃ¶rÃ¼yorsunuz.

CSA/NASA",156,761,12K
NASA,@NASA,"Through #WomensHistoryMonth and every day, we honor the women at NASA who brought us to where we are and inspire generations past, present, and future to explore the cosmos. http://nasa.gov/womenThrough #WomensHistoryMonth and every day, we honor the women at NASA who brought us to where we are and inspire generations past, present, and future to explore the cosmos. http://nasa.gov/women",133,736,"4,922"
,@ElegantAlia,I am sending this to NASA because you are a star Alia Bhatt I am sending this to NASA because you are a star Alia Bhatt ,3,29,236
iesh,@lewishamil7on,just realized lewis has that NASA space ship behind himjust realized lewis has that NASA space ship behind him,5,83,784
Javier Clavijo,@JavierC35957887,LA RATA ASTRONAUTA DE LA NASA LA RATA ASTRONAUTA DE LA NASA ,32,151,259
Olivia,@Oliviahich,"my dear friends  

Have a
 nice
&
Happy 
weekend.

..
#NATO #NASA #nature #weekendmy dear friends  

Have a
 nice
&
Happy 
weekend.

..
#NATO #NASA #nature #weekend",5,7,27
mycheolipops,@PAP1CHEOLO,"Having ""I Don't Understand But I Luv U"", a comment from a Live before that touched the hearts of the member and now it is one of the songs in the upcoming CB really proves how much the boys love and cherish the Carats so much 

Nasa tamang fandom talaga koHaving ""I Don't Understand But I Luv U"", a comment from a Live before that touched the hearts of the member and now it is one of the songs in the upcoming CB really proves how much the boys love and cherish the Carats so much 

Nasa tamang fandom talaga ko",,28,147
Primal Space,@thePrimalSpace,"NASA will reveal the Artemis II crew tomorrow! 

3 US astronauts and 1 Canadian astronaut will fly aboard Orion. 

(Credit: NASA)NASA will reveal the Artemis II crew tomorrow! 

3 US astronauts and 1 Canadian astronaut will fly aboard Orion. 

(Credit: NASA)",8,61,498
j.,@blairwaldorfs_,"no selfies posted nung nasa pasyal, pero his recent stories were about her no selfies posted nung nasa pasyal, pero his recent stories were about her ",,119,469
Chris Bergin - NSF,@NASASpaceflight,"Ship 24 is rolling out to the launch site, and Booster 7 will soon be reunited for stacking! 

Live commentary: https://youtube.com/watch?v=gTGvYlZB5BAâ€¦Ship 24 is rolling out to the launch site, and Booster 7 will soon be reunited for stacking! 

Live commentary: https://youtube.com/watch?v=gTGvYlZB5BAâ€¦",7,93,"1,011"
UFO CASE ALIEN,@multistagecorre,"cloak tech 003 / no explanation required

well only works on distance 
but they do it anyway 
#UFOTwitter #UFO #UFOSightings
#uaptwitter  #nasa   #UAP #Aliens
   
#OVNI

we oppose deception cloak tech 003 / no explanation required

well only works on distance 
but they do it anyway 
#UFOTwitter #UFO #UFOSightings
#uaptwitter  #nasa   #UAP #Aliens
   
#OVNI

we oppose deception ",7,20,65
Xavi Bros,@Xavi_Bros,"This beautiful galaxy is NGC 2442, situated 50 million light-years far. It has two prominent arms and a big central bar and bulge.

This is the NASAâ€™s APOD of today.
Image Credit & Copyright: Nicolas Rolland, Martin Pugh.This beautiful galaxy is NGC 2442, situated 50 million light-years far. It has two prominent arms and a big central bar and bulge.

This is the NASAâ€™s APOD of today.
Image Credit & Copyright: Nicolas Rolland, Martin Pugh.",3,121,745
Swetilein,@Swetilein1,"'NGC 2442: Galaxy in Volans' image from the #NASA_App
https://apod.nasa.gov/apod/ap230401.htmlâ€¦
#Astrophotography #astronomy #space #Galaxy'NGC 2442: Galaxy in Volans' image from the #NASA_App
https://apod.nasa.gov/apod/ap230401.htmlâ€¦
#Astrophotography #astronomy #space #Galaxy",3,21,197
Domenico,@AvatarDomy,"The northern lights as seen from the ISS. The video begins with the green hues of the northern lights dancing across the skies of North America. The curvature of the Earth is visible where the auroras in the atmosphere meet the darkness of space.
Credit NASAThe northern lights as seen from the ISS. The video begins with the green hues of the northern lights dancing across the skies of North America. The curvature of the Earth is visible where the auroras in the atmosphere meet the darkness of space.
Credit NASA",,7,19
Mikay â€¢ busy,@mikaydb,Confirmed!! Nasa bday celeb si Donny ni Meme viceConfirmed!! Nasa bday celeb si Donny ni Meme vice,3,348,"1,283"
Curiosity,@Curiosity5932,"New Zealand seen from the International Space Station! 

Credit: NASANew Zealand seen from the International Space Station! 

Credit: NASA",,11,29
Phillip Davis,@Phillip96207244,"I have been meaning to post a basic chart of various types of gases as it relates to hundreds of phases of UFOs, that I have processed over past months. Using a clean version of AI (no models) based solely on sharpening only as NASA uses. I am not a chemist, but I can see colorâ€¦I have been meaning to post a basic chart of various types of gases as it relates to hundreds of phases of UFOs, that I have processed over past months. Using a clean version of AI (no models) based solely on sharpening only as NASA uses. I am not a chemist, but I can see colorâ€¦",3,4,10
Universal-Sci,@universal_sci,"The last rays of an orbital sunset illuminate the Earth's atmosphere in this stunning shot from the International Space Station.

(Credit: NASA)The last rays of an orbital sunset illuminate the Earth's atmosphere in this stunning shot from the International Space Station.

(Credit: NASA)",1,22,124
NASA Marshall,@NASA_Marshall,"We're two days away from the #Artemis II crew announcement!  

Watch as teams at #NASAMichoud bring the last of the five major structures of the mission's 
@NASA_SLS
 core stage together.

Learn more HERE>> https://go.nasa.gov/3zmqAdNWe're two days away from the #Artemis II crew announcement!  

Watch as teams at #NASAMichoud bring the last of the five major structures of the mission's 
@NASA_SLS
 core stage together.

Learn more HERE>> https://go.nasa.gov/3zmqAdN",9,96,517
Astronomy Picture Of The Day,@apod,"M57: The Ring Nebula from Hubble: https://apod.nasa.gov/apod/ap230402.htmlâ€¦ by 
@NASA
, 
@esa
, Hubble Legacy Archive;sProcessing:sJudy SchmidtM57: The Ring Nebula from Hubble: https://apod.nasa.gov/apod/ap230402.htmlâ€¦ by 
@NASA
, 
@esa
, Hubble Legacy Archive;sProcessing:sJudy Schmidt",17,183,"1,427"
NASA,@NASA,"A new 
@NASAEarth
 & 
@CenterForAstro
 mission preparing for launch will be the first to take hourly observations of air quality in North America. Data from #TEMPO will improve forecasts & reveal disparities in pollution exposure within cities and communities. https://go.nasa.gov/3K3Zhd4A new 
@NASAEarth
 & 
@CenterForAstro
 mission preparing for launch will be the first to take hourly observations of air quality in North America. Data from #TEMPO will improve forecasts & reveal disparities in pollution exposure within cities and communities. https://go.nasa.gov/3K3Zhd4",130,618,"4,611"
Carson Garrett,@CarsonGarrett_,"#NASA Artemis II crew will be announced today!!!

3 American astronauts will be selected to go up on the next SLS rocket and complete a lunar flyby! 

Want to remind all those kids who love space out there to keep learning about what you love! You may just so happen to end upâ€¦#NASA Artemis II crew will be announced today!!!

3 American astronauts will be selected to go up on the next SLS rocket and complete a lunar flyby! 

Want to remind all those kids who love space out there to keep learning about what you love! You may just so happen to end upâ€¦",3,1,42
ð•‹ð”¼ð”¸â„,@TeahCartel,The sun still creating chaos. NASA's newest video.The sun still creating chaos. NASA's newest video.,3,8,35
ConnSCG Fight For AmericaÂ®,@F4tUS,"The Biden regime boycotted the Physical Society conference in Israel.

Straughn (NASA) told the organizers the cancelation was due to instructions from the U.S. State Department.

The relationship between the Biden regime and Israel are deteriorating fast. https://jihadwatch.org/2023/04/biden-regime-boycotts-israelâ€¦The Biden regime boycotted the Physical Society conference in Israel.

Straughn (NASA) told the organizers the cancelation was due to instructions from the U.S. State Department.

The relationship between the Biden regime and Israel are deteriorating fast. https://jihadwatch.org/2023/04/biden-regime-boycotts-israelâ€¦",4,65,40
Dr. Nasa (New Nigeria is POssible),@Nasaodo4u,"And this was where the APC planned the skitReplying to 
@realFFK",35,112,102
Pubity,@pubity,"Nasa may have found life on Mars (but we wonâ€™t know for ten years)

Last week, Nasaâ€™s Perseverance rover collected samples which are not due to arrive here until 2033 Nasa may have found life on Mars (but we wonâ€™t know for ten years)

Last week, Nasaâ€™s Perseverance rover collected samples which are not due to arrive here until 2033 ",2,3,67
NASA Laser Communications,@NASALaserComm,"In just two days, 
@NASA
 will announce the astronauts flying on the 
@NASAArtemis
 II mission!

During this crewed flight, the 
@NASA_Orion
 capsule will be equipped with a laser communications system - O2O - to enable the transfer of high-resolution images and videos back to Earth.In just two days, 
@NASA
 will announce the astronauts flying on the 
@NASAArtemis
 II mission!

During this crewed flight, the 
@NASA_Orion
 capsule will be equipped with a laser communications system - O2O - to enable the transfer of high-resolution images and videos back to Earth.",14,82,462
Dr. Nasa (New Nigeria is POssible),@Nasaodo4u,"Bursted! This was where APC planned the skit with Ibom airline

#APCaTorriristOrganizationReplying to 
@fkeyamo",67,340,374
True Earth FROG,@MentalsFun,"NASA - This Nasa image shows Earth from space.

Also Nasa - This Nasa image is a combination of data. AKA cgi

Funny how all these articles debunking flat earth always use cgi images. You would think we would have a 24/7 live feed from the moon by now.

#FlatEarth #TrueEarthNASA - This Nasa image shows Earth from space.

Also Nasa - This Nasa image is a combination of data. AKA cgi

Funny how all these articles debunking flat earth always use cgi images. You would think we would have a 24/7 live feed from the moon by now.

#FlatEarth #TrueEarth",9,4,18
ã…ã„´ã…‹ã…‹ã…‹,@anthophilelover,"the light aura of BLCK that makes agents less anxious 

go best team! nasa likod nâ€™yo lang kami whatever happens the light aura of BLCK that makes agents less anxious 

go best team! nasa likod nâ€™yo lang kami whatever happens ",,23,197
NASA Aeronautics,@NASAaero,"At 
@NASA_Langley
 researchers use computational fluid dynamics (CFD) to predict how air moves over spacecraft & airplanes.  Recently, we used baseballs! Adding prescribed motion, such as rotation of a baseball, advances the groupâ€™s technical skills. More: https://go.nasa.gov/40Qqx5xAt 
@NASA_Langley
 researchers use computational fluid dynamics (CFD) to predict how air moves over spacecraft & airplanes.  Recently, we used baseballs! Adding prescribed motion, such as rotation of a baseball, advances the groupâ€™s technical skills. More: https://go.nasa.gov/40Qqx5x",6,32,175
Ars Technica,@arstechnica,"From the archives: While it still looks every inch the shiny sci-fi dream depicted in 80s posters, NASA's Shuttle Centaur will forever remain on terra firmaâ€”and represents what some have described as the â€œnaive arroganceâ€ of the space shuttle's Golden Age.From the archives: While it still looks every inch the shiny sci-fi dream depicted in 80s posters, NASA's Shuttle Centaur will forever remain on terra firmaâ€”and represents what some have described as the â€œnaive arroganceâ€ of the space shuttle's Golden Age.",,7,20
NASA Exoplanets,@NASAExoplanets,Can you imagine a ring system so large it would eclipse the Sun? We can! Astronomers found evidence of a planet with rings 200 times bigger than Saturn's. They also saw those rings eclipsing the planet's Sun-like star! https://go.nasa.gov/3zFA8RvCan you imagine a ring system so large it would eclipse the Sun? We can! Astronomers found evidence of a planet with rings 200 times bigger than Saturn's. They also saw those rings eclipsing the planet's Sun-like star! https://go.nasa.gov/3zFA8Rv,28,345,"2,397"
UFO CASE ALIEN,@multistagecorre,"Nasa treasonou's > 081

ET  deploying
#UFOTwitter #UFO #smudge #UFOSightings 
#uaptwitter  #NASA    #UAP #Aliens
    

#OVNI

we oppose deception deployingNasa treasonou's > 081

ET  deploying
#UFOTwitter #UFO #smudge #UFOSightings 
#uaptwitter  #NASA    #UAP #Aliens
    

#OVNI

we oppose deception deploying",3,10,32
NONE32X32,@NONE32X32,"NASA 

â€œThat's one small step for man, one giant leap for mankind.â€NASA 

â€œThat's one small step for man, one giant leap for mankind.â€",4,3,25
Emily,@ItsRubiksCubed,"We have come so far since the Apollo capsules. Can't wait for us to return to the moon!Replying to 
@NASA",2,4,44
Science Channel,@ScienceChannel,"New discovery!   Saturnâ€™s vast ring system is heating the giant planetâ€™s upper atmosphere. The most feasible explanation is that icy ring particles raining down onto Saturnâ€™s atmosphere cause this heating. 

Credits: NASA, ESA, Lotfi Ben-Jaffel (IAP & LPL)New discovery!   Saturnâ€™s vast ring system is heating the giant planetâ€™s upper atmosphere. The most feasible explanation is that icy ring particles raining down onto Saturnâ€™s atmosphere cause this heating. 

Credits: NASA, ESA, Lotfi Ben-Jaffel (IAP & LPL)",8,40,170
B.M.P the Original,@potchiiing,"Sabi nga ni AC, kahit nasayo na ang lahat ng talent sa mundo, what matters is your attitude. One example is Belle, nasa kanya na ang lahat and she also knows how to value people around her. That's why everyone loves her so muchhhh 

Slay madzam! Sabi nga ni AC, kahit nasayo na ang lahat ng talent sa mundo, what matters is your attitude. One example is Belle, nasa kanya na ang lahat and she also knows how to value people around her. That's why everyone loves her so muchhhh 

Slay madzam! ",1,57,226
NASA Ames,@NASAAmes,"One day until we announce the names of the #Artemis Crew II.

Are you ready? Join us tomorrow, 8am PT/11am ET: https://bit.ly/3JXeCMIOne day until we announce the names of the #Artemis Crew II.

Are you ready? Join us tomorrow, 8am PT/11am ET: https://bit.ly/3JXeCMI",9,59,213
